Year,Canola,region,average_max_temp_in_4,average_max_temp_in_5,average_max_temp_in_6,average_max_temp_in_7,average_max_temp_in_8,average_max_temp_in_9,average_max_temp_in_10,days_above_25,days_under_0,longest_dry_spell,longest_wet_spell,days_over_95_precipitation,longest_heat_wave,longest_cold_wave,SPI_in_4,SPI_in_5,SPI_in_6,SPI_in_7,SPI_in_8,SPI_in_9,SPI_in_10,Region,Soil Zone
2003,-6.100613622512071,2,285.0457763671875,290.79473876953125,294.0649108886719,299.9303283691406,301.88787841796875,293.2416076660156,288.117919921875,66,7,10,16,10,8,2,0.334509905164464,0.2932198155561043,0.0746554207627345,-0.0459616020729741,-0.0703201405520646,0.2717219692430213,0.0606876645529295,2.0,1.0
2004,2.8746664203588033,2,285.6729736328125,287.4160461425781,291.9795227050781,297.1534729003906,294.1598205566406,293.91705322265625,284.5111389160156,28,1,6,15,18,3,7,0.1809996222673433,0.5401358952111814,-0.0386770682664149,0.2566123383398496,0.4627841882239468,0.0262486886564694,0.2710935607825465,2.0,1.0
2005,1.4074675905961804,2,287.1352844238281,288.9404602050781,294.8148193359375,298.9809265136719,297.56280517578125,294.3195495605469,285.18145751953125,46,0,6,30,14,5,4,-0.0119650884530164,0.2468723498085579,0.4841957278323814,0.2777996585153898,-0.0829304833029722,-0.1283726402999689,0.2295025251129895,2.0,1.0
2006,-3.400203560817637,2,288.9892883300781,291.4016418457031,296.3016357421875,301.8395080566406,300.2266540527344,292.9396057128906,281.4609680175781,70,2,13,12,7,5,2,0.3137293078151629,0.1272262217165788,0.1738026236926867,0.0003707023031006,-0.1737105637113025,0.1436757797667332,0.116105394339807,2.0,1.0
2007,-1.8492935712108007,2,285.06549072265625,292.2662048339844,296.4087829589844,302.01397705078125,298.7033386230469,294.87371826171875,286.2737731933594,66,4,7,10,9,5,4,-0.0283855676738351,0.4385264396445893,0.289507108389821,-0.1764595823470131,0.3505689957463188,0.2311860912485713,0.0933312529089115,2.0,1.0
2008,0.7601975594166746,2,285.61016845703125,290.8824768066406,294.01959228515625,299.5233154296875,299.9239501953125,292.4166564941406,285.11895751953125,51,0,10,14,11,2,4,-0.0096717922654007,-0.0485419067802237,0.1232539726488952,0.1877552530834811,0.0703396708805025,0.2892315470538224,0.1502904199767784,2.0,1.0
2009,9.126755601212722,2,282.70269775390625,290.0907287597656,295.6975402832031,296.834716796875,297.84906005859375,298.9085388183594,280.62005615234375,58,3,9,14,7,7,9,0.227352492144738,-0.0488744978870727,-0.1002703336951598,0.2860520037428444,0.2203616807759132,-0.2089067468662128,0.7245620460329552,2.0,1.0
2010,2.1532955375555183,2,287.82415771484375,289.7421569824219,294.08685302734375,299.2056579589844,298.8236999511719,290.3450622558594,287.26019287109375,45,1,12,15,21,3,3,0.3464454240297863,0.5094968129805318,0.0517668850684045,0.1481813824542531,0.4724643415355793,0.523258935524048,-0.1098381536257379,2.0,1.0
2011,-2.061583385081054,2,279.9830017089844,287.2235107421875,294.5286560058594,299.2528381347656,300.08892822265625,295.3165588378906,287.3931579589844,63,0,13,8,17,3,4,0.3626407855929522,0.3862180403928774,0.2489231150702856,0.0535684968319919,0.0110943057610037,-0.2106875426604604,0.0772334580433539,2.0,1.0
2012,-0.51788116669697,2,285.91748046875,290.0735168457031,296.5771179199219,301.42645263671875,300.51373291015625,296.7767028808594,282.7289123535156,77,2,13,12,11,3,3,0.4153106291421412,0.2529325596641289,0.0272129540340604,0.1760674595492879,0.1409394114032697,-0.2795401745600332,0.4428221464271543,2.0,1.0
